country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year,gdp_for_year ($),gdp_per_capita ($),generation
United States,2000,male,5-14 years,81,3073560,2.64,United States2000,0.933,76310071,24827,G.I. Generation
United States,2000,male,15-24 years,306,2404394,12.73,United States2000,0.933,59696078,24827,G.I. Generation
United States,2000,male,25-34 years,145,298805,48.53,United States2000,0.933,7418703,24827,Generation Z
United States,2000,male,35-54 years,110,203738,53.99,United States2000,0.933,5058388,24827,Silent
United States,2000,male,55-74 years,747,2718830,27.48,United States2000,0.933,67502867,24827,G.I. Generation
United States,2000,male,75+ years,276,2119332,13.02,United States2000,0.933,52618584,24827,Generation Z
United States,2000,female,5-14 years,30,634910,4.73,United States2000,0.933,15763488,24827,Boomers
United States,2000,female,15-24 years,114,3043589,3.75,United States2000,0.933,75565954,24827,Millenials
United States,2000,female,25-34 years,100,2362396,4.23,United States2000,0.933,58653355,24827,Generation Z
United States,2000,female,35-54 years,431,4080307,10.56,United States2000,0.933,101305496,24827,Boomers
United States,2000,female,55-74 years,383,1356922,28.23,United States2000,0.933,33689537,24827,G.I. Generation
United States,2000,female,75+ years,718,4564737,15.73,United States2000,0.933,113332880,24827,Silent
United States,2001,male,5-14 years,72,1198119,6.01,United States2001,0.935,28562291,23839,Silent
United States,2001,male,15-24 years,1547,3920637,39.46,United States2001,0.935,93465152,23839,Generation Z
United States,2001,male,25-34 years,680,3690905,18.42,United States2001,0.935,87988507,23839,Boomers
United States,2001,male,35-54 years,84,417090,20.14,United States2001,0.935,9943124,23839,Silent
United States,2001,male,55-74 years,1263,2790522,45.26,United States2001,0.935,66524027,23839,Boomers
United States,2001,male,75+ years,521,2804941,18.57,United States2001,0.935,66867766,23839,Generation X
United States,2001,female,5-14 years,9,275054,3.27,United States2001,0.935,6557088,23839,G.I. Generation
United States,2001,female,15-24 years,216,1154443,18.71,United States2001,0.935,27521086,23839,G.I. Generation
United States,2001,female,25-34 years,56,555414,10.08,United States2001,0.935,13240668,23839,Generation X
United States,2001,female,35-54 years,352,3191831,11.03,United States2001,0.935,76090944,23839,Generation Z
United States,2001,female,55-74 years,530,1760879,30.1,United States2001,0.935,41978082,23839,G.I. Generation
United States,2001,female,75+ years,668,2893968,23.08,United States2001,0.935,68990105,23839,G.I. Generation
United States,2002,male,5-14 years,276,2894130,9.54,United States2002,0.937,75140635,25963,Generation X
United States,2002,male,15-24 years,276,3611181,7.64,United States2002,0.937,93757514,25963,G.I. Generation
United States,2002,male,25-34 years,97,350860,27.65,United States2002,0.937,9109419,25963,Boomers
United States,2002,male,35-54 years,775,4556319,17.01,United States2002,0.937,118296243,25963,G.I. Generation
United States,2002,male,55-74 years,695,1174693,59.16,United States2002,0.937,30498691,25963,G.I. Generation
United States,2002,male,75+ years,697,973862,71.57,United States2002,0.937,25284493,25963,Generation X
United States,2002,female,5-14 years,24,706372,3.4,United States2002,0.937,18339618,25963,Boomers
United States,2002,female,15-24 years,673,4484283,15.01,United States2002,0.937,116425964,25963,Boomers
United States,2002,female,25-34 years,438,1910229,22.93,United States2002,0.937,49595499,25963,G.I. Generation
United States,2002,female,35-54 years,702,2250117,31.2,United States2002,0.937,58420051,25963,Generation Z
United States,2002,female,55-74 years,430,2651587,16.22,United States2002,0.937,68843463,25963,G.I. Generation
United States,2002,female,75+ years,184,1493179,12.32,United States2002,0.937,38767581,25963,Generation X
United States,2003,male,5-14 years,18,511482,3.52,United States2003,0.939,12616680,24666,Silent
United States,2003,male,15-24 years,391,3618898,10.8,United States2003,0.939,89267031,24666,G.I. Generation
United States,2003,male,25-34 years,634,3125908,20.28,United States2003,0.939,77106491,24666,Millenials
United States,2003,male,35-54 years,702,1856341,37.82,United States2003,0.939,45790196,24666,Millenials
United States,2003,male,55-74 years,1354,2549373,53.11,United States2003,0.939,62885154,24666,Boomers
United States,2003,male,75+ years,159,588095,27.04,United States2003,0.939,14506486,24666,Generation Z
United States,2003,female,5-14 years,105,1965359,5.34,United States2003,0.939,48479333,24666,G.I. Generation
United States,2003,female,15-24 years,655,4118872,15.9,United States2003,0.939,101599845,24666,G.I. Generation
United States,2003,female,25-34 years,48,1095288,4.38,United States2003,0.939,27017370,24666,G.I. Generation
United States,2003,female,35-54 years,342,1257157,27.2,United States2003,0.939,31010178,24666,Boomers
United States,2003,female,55-74 years,363,3296829,11.01,United States2003,0.939,81322584,24666,Silent
United States,2003,female,75+ years,1402,4221008,33.21,United States2003,0.939,104119225,24666,Silent
United States,2004,male,5-14 years,195,4411228,4.42,United States2004,0.941,122639793,27801,Silent
United States,2004,male,15-24 years,919,4914408,18.7,United States2004,0.941,136629070,27801,Generation X
United States,2004,male,25-34 years,300,646893,46.38,United States2004,0.941,17984747,27801,G.I. Generation
United States,2004,male,35-54 years,226,1105794,20.44,United States2004,0.941,30742992,27801,G.I. Generation
United States,2004,male,55-74 years,1421,4310356,32.97,United States2004,0.941,119835376,27801,Boomers
United States,2004,male,75+ years,124,603871,20.53,United States2004,0.941,16788661,27801,Boomers
United States,2004,female,5-14 years,117,2987295,3.92,United States2004,0.941,83051984,27801,Generation X
United States,2004,female,15-24 years,13,224295,5.8,United States2004,0.941,6235790,27801,Generation Z
United States,2004,female,25-34 years,560,2352435,23.81,United States2004,0.941,65401775,27801,Boomers
United States,2004,female,35-54 years,194,1338795,14.49,United States2004,0.941,37220824,27801,G.I. Generation
United States,2004,female,55-74 years,653,3356541,19.45,United States2004,0.941,93317664,27801,G.I. Generation
United States,2004,female,75+ years,487,3254396,14.96,United States2004,0.941,90477856,27801,Generation Z
United States,2005,male,5-14 years,406,4481823,9.06,United States2005,0.943,114473302,25541,Generation Z
United States,2005,male,15-24 years,963,3296496,29.21,United States2005,0.943,84198055,25541,Boomers
United States,2005,male,25-34 years,479,3667770,13.06,United States2005,0.943,93681018,25541,Generation X
United States,2005,male,35-54 years,209,409298,51.06,United States2005,0.943,10454159,25541,Generation Z
United States,2005,male,55-74 years,989,4591349,21.54,United States2005,0.943,117270780,25541,Millenials
